nmid	cost	name
288063036	2200	Шарм подвеска с Метеоритом
292157496	2300	Браслет "Звездный маг" с метеоритом Алетай и бусиной Дзи
303598439	3350	Браслет "Вершитель реальности" с метеоритом и лабрадоритом
306818299	2300	Браслет "Прометей" лабрадорит с метеоритом Алетай
307131325	18000	Подвеска с метеоритом Муонионалуста
318124238	6240	Метеорит Каньон Дьябло - коллекционный образец: 15,6 гр.
327127352	1300	Браслет Синергия с метеоритом Алетай
378649009	4700	Подвеска из метеорита Муонионалуста
386539305	5000	Подвеска с метеоритом Sericho
387093306	3800	Подвеска с метеоритом Серичо
387711805	3000	Подвеска Сияние с метеоритом Муонионалуста
430742201	3600	Браслет из натуральный камней с метеоритом
431548944	7800	Коллекционные часы с метеоритом
434077004	2900	Подвеска "Сердце" двусторонняя
434100575	14500	Подвеска ДЗИ из метеорита
445391913	1860	Коллекционный образец метеорит Сихотэ-Алинь
445409409	7800	Кольцо из метеорита Muonionalucsta
446306396	7000	Подвеска с метеоритом Муонионалуста и Молдавитом
447659932	1600	Коллекционный образец метеорит Сихотэ-Алинь №2
447795230	2200	Метеорит Сихотэ-Алинь
465705373	1300	Подвеска с метеоритом Campo del Cielo
516995980	2900	Коллекционный образец метеорит Дронино
528126045	3200	Коллекционный образец метеорит Сихотэ-Алинь №3
528130767	3400	Метеорит Сихотэ-Алинь №3
542418030	2000	Коллекционный образец метеорит Дронино №6
542426312	2800	Коллекционный образец метеорит Царев
561815738	2500	Браслет Непобедимое Солнце с метеоритом Алетай
563068048	3800	Метеорит Царев индивидуальный экземпляр - 53,3 гр.
574342203	3500	Коллекционный образец Campo del Cielo в прозрачном кубе
575978057	2500	Браслет из натуральных камней с метеоритом
597042204	3900	Коллекционный образец метеорит Дронино - 29,7 гр.
597048927	2600	Коллекционный образец метеорит Дронино - 19,4 гр.
604445060	9000	Коллекционная фигурка из метеорита Будда - 52,4 гр.
635576126	6000	Подвеска Шестиконечная звезда с метеоритом
676688948	4700	Подвеска Непобедимое солнце с метеоритом
678735474	5000	Кулон из метеорита Алетай
678802293	4500	Кулон Тибетский щит из метеорита Алетай
679816837	2500	Подвеска из метеорита Сихотэ-Алинь №1
685257465	3600	Кулон Би-диск из метеорита Алетай
685264731	2700	Подвеска из метеорита Сихотэ-Алинь №2
690996240	700	Коллекционный образец метеорит Campo del Cielo
691043622	16500	Подвеска из метеорита Муонионалуста
699156637	600	Коллекционный образец метеорит Campo del Cielo 6,7 гр.
699184297	1250	Коллекционный образец метеорит Campo del Cielo №4
699209236	1400	Коллекционный образец метеорит campo del Cielo
699377047	8000	Тибетская бусина Дзи 20 глаз
702062898	1300	Мужской браслет из натуральных камней с метеоритом
708551888	7600	Мужской браслет из натуральных камней с метеоритом Алетай
710251303	1150	Подвеска из метеорита Кампо Дель Сьело
710279007	1150	Подвеска из метеорита Campo del Cielo
710291050	1150	Подвеска из метеорита Campo del Cielo
710552269	7600	Мужской браслет из натуральных камней
711978621	1800	Подвеска из метеорита Сихотэ-Алинь
731559604	2700	Подвеска из метеорита Сихотэ-Алинь
731562548	16500	Подвеска из метеорита Муонионалуста
731567520	2760	Метеорит Царев (горбушка) 34,5 гр.
756525446	3400	Подвеска "Тайцзи Инь Ян" с метеоритом Алетай
795164510	800	Метеорит Царев, каменный метеорит 9,7 гр.
795177138	1150	Подвеска с метеоритом Campo 7,3 гр.
795184511	1100	Метеорит Campo del Cielo - 6,3 гр.
795190493	1300	Метеорит Campo del Cielo, 9,1 гр.
795195057	1300	Подвеска из метеорита Campo del Cielo 8,6 гр.
817111827	1400	Дронино метеорит осколок 7,1 гр.
817146071	3120	Метеорит железный Дронино 24 гр.
817187422	1150	Кампо Дель Сьело - метеорит 6,8 гр.
820027257	1150	Метеорит осколок Кампо Дель Сьело - 7,5 гр.
820164864	1100	Подвеска с метеоритом Кампо Дель Сьело
820171858	1250	Подвеска-метеорит Кампо Дель Сьело - 8 гр.
820177972	1250	Подвеска с метеоритом Кампо Дель Сьело - 8,1 гр.
825166552	1200	Метеорит Царев, 15 гр.
826767546	2700	Метеорит Сихотэ-Алинь 8,9 гр.
859439289	5000	Подвеска с метеоритом Серичо
859585573	11500	Кулон из метеорита Алетай -45,7 гр.
861562848	3500	Подвеска и метеоритом Серичо
863679106	1100	Подвеска с метеоритом Кампо Дель Сьело 7,5 гр.
863685769	1100	Подвеска из метеорита Кампо Дель Сьело 7,6 гр.
863699168	1100	Подвеска из метеорита Campo Del Cielo 6,4 гр.
866600178	9400	Крест с метеоритом
988261734	6500	Кулон Дракон из метеорита Алетай
988359699	6500	Бусина Дзи из метеорита Алетай
988553691	13000	Резная фигурка из ливийского стекла
988801724	6000	Бусина Дзи из метеорита Алетай
1002804418	600	Кампо Дель Сьело метеорит - коллекционный образец 7,3 гр.
1002814727	1100	Подвеска из метеорит Кампо дель Сьело
1068082857	3500	Браслет с ливийским стеклом и старой бусиной Дзи
