Артикул продавца,Название товара,Категория,Размеры,nmId WB,Выкуплено шт,К перечислению ₽,Остаток,СЕБЕСТОИМОСТЬ
JW-NB-AGT-M-0047,"Браслет ""Прометей"" лабрадорит с метеоритом Алетай",Браслеты,"19, 20",306818299,18,93700,0,3200
JW-NB-AGT-M-0041,"Браслет ""Вершитель реальности"" с метеоритом и лабр...",Браслеты,"18, 19, 20",303598439,13,86970,0,4500
JW-NB-AGT-M-0073,"Браслет ""Синергия"" с метеоритом Алетай для медитац...",Браслеты,"17, 18, 19, 20",327127352,25,84886,0,2200
JW-NB-AGT-M-0098,Подвеска мелонг из метеорита Алетай,Подвески бижутерные,0,378674958,3,73710,0,13000
JW-NB-AGT-M-0033,"Браслет ""Звездный маг"" с метеоритом Алетай и бусин...",Браслеты,"17, 19",292157496,13,66747,0,3200
JW-NB-AGT-M-0031,Подвеска с метеоритом,Подвески бижутерные,0,288129588,5,58672,0,3400
JW-NB-AGT-M-0099,Подвеска с метеоритом Серичо,Подвески бижутерные,0,378971071,3,45788,0,5000
JW-NB-AGT-M-0096,Подвеска из метеорита Муонионалуста,Подвески бижутерные,0,378297543,2,45691,0,7000
JW-NB-AGT-M-0097,Подвеска из метеорита Муонионалуста,Подвески бижутерные,0,378649009,4,42192,0,7000
39759465,Подвеска ДЗИ из метеорита,Подвески бижутерные,0,434100575,2,41135,0,14000
34567890,Браслет с молдавитом,Браслеты,18,415524446,3,40949,0,5500
JW-NB-AGT-M-0019,"Браслет ""Амрита"" с метеоритом Алетай защитный тали...",Браслеты,"16, 17, 18",269374290,7,37746,0,4500
JW-NB-AGT-M-0100,Подвеска из метеорита Серичо,Подвески бижутерные,0,378980050,3,35340,0,7000
97876575454,Подвеска с метеоритом,Подвески бижутерные,0,446306396,3,35172,0,7000
JW-NB-AGT-M-0112,Подвеска с метеоритом Муонионалуста,Подвески бижутерные,0,387711805,6,32667,0,3500
