offer_id;категория;в_наличии_WB;остаток_Ozon;WB_base;WB_final;k_ozon;Ozon_цена_тек;Ozon_цена_НОВ;Ozon_old_НОВ;Ozon_min_НОВ;дельта;товар
835694653692;Обереги;да;1;76000;57760;1.447;38760;83580;109980;79410;44820;"Метеорит - коллекционная фигурка 77,3 гр."
94792834376487512;Обереги;да;1;75000;52500;1.447;39750;75970;108530;72180;36220;"Небесный тигр - кулон из метеорита Алетай - 51,2 гр."
JW-NB-AGT-M-0098;Подвески бижутерные;да;1;75000;52500;1.447;48000;75970;108530;72180;27970;"Подвеска мелонг из метеорита Алетай"
9863479136591751;Обереги;да;1;46800;36504;1.447;27144;52830;67720;50190;25686;"Коллекционная фигурка из каменного метеорита"
97829723765327853;Обереги;да;1;46900;34237;1.447;29078;49550;67870;47080;20472;"Кулон-подвеска из метеорита Алетай"
897976752231;Обереги;да;1;60000;44400;1.447;43800;64250;86820;61040;20450;"Метеорит Дронино - образец 97,5 гр."
87494658726767861;Обереги;да;1;59000;37760;1.447;34220;54640;85380;51910;20420;"Коллекционный экземпляр метеорит Царев 119 гр."
JW-NB-AGT-M-0018;Природные материалы для творчества;да;1;65000;52650;1.426;55250;75080;92690;71330;19830;"Коллекционный образец метеорит Кампо Дель Сьело"
JW-NB-AGT-M-0022;Природные материалы для творчества;да;1;58000;53940;1.426;59000;76920;82710;73080;17920;"Осколок железного метеорита Сихоте-Алинь"
8365796237657;Обереги;да;1;35300;22592;1.447;14826;32700;51080;31070;17874;"Метеорит Царев"
98877665437;Обереги;да;1;40000;38000;1.447;38000;54990;57880;52250;16990;"Коллекционный образец метеорит Сихотэ-Алинь №5"
097976675675454;Обереги;да;1;40000;31600;1.447;29200;45730;57880;43450;16530;"Метеорит Дронино - коллекционный образец 62,1 гр."
3487564386799864;Обереги;да;1;45000;32850;1.447;32400;47540;65120;45170;15140;"Кулон-артефакт из метеорита Алетай"
872395643876;Подвески бижутерные;да;1;22500;22500;1.447;17430;32560;0;30940;15130;"Кулон из метеорита Алетай"
382467387253;Подвески бижутерные;да;1;45000;25650;1.447;22050;37120;65120;35270;15070;"Крест с метеоритом"
89235856463594;Обереги;да;1;55980;30789;1.447;31348;44560;81010;42340;13212;"Метеорит Сихотэ-Алинь - 31,1 гр. индивидуал"
301984801481;Обереги;да;1;56700;31185;1.447;32319;45130;82050;42880;12811;"Сихотэ-Алинь метеорит - 31,5 гр."
403874694;Обереги;да;1;26700;19224;1.447;16020;27820;38640;26430;11800;"Метеорит Царев - 29,3 гр."
8768757655223;Обереги;да;1;30360;19430;1.447;16698;28120;43940;26720;11422;"Метеорит Царев - образец 33 гр."
567567542342;Природные материалы для творчества;да;1;22000;15840;1.426;11220;22590;31380;21470;11370;"Коллекционный метеорит Сихотэ-Алинь 12г"
35032037;Природные материалы для творчества;да;1;33000;30690;1.426;33000;43770;47060;41590;10770;"Метеорит Дронино 60,2 гр."
03982907587;Обереги;да;1;38990;24954;1.447;25343;36110;56420;34310;10767;"Метеорит Сихотэ-Алинь - 55,7 гр."
9345896543;Природные материалы для творчества;да;1;31500;24570;1.426;24570;35040;44920;33290;10470;"Метеорит Сихотэ-Алинь №2"
7866556434221;Обереги;да;1;27600;17664;1.447;15180;25560;39940;24290;10380;"Царев метеорит - 30 гр."
JW-NB-AGT-M-0095;Природные материалы для творчества;да;1;25900;23310;1.426;23310;33250;36940;31590;9940;"Коллекционный образец метеорит Дронино №2"
88373654562782;Природные материалы для творчества;да;1;25300;22770;1.426;22770;32480;36080;30860;9710;"Коллекционный образец метеорит Дронино №5"
868756534331;Обереги;да;1;20100;12864;1.447;9045;18620;29090;17690;9575;"Каменный метеорит Царев - 21,9 гр."
9998765443;Обереги;да;1;29600;21016;1.447;21016;30420;42840;28900;9404;"Коллекционный образец метеорит Сихотэ-Алинь №4"
76665545444;Природные материалы для творчества;да;1;20900;14630;1.426;11495;20870;29810;19830;9375;"Коллекционный образец метеорит Campo del Cielo №2"
9878765445421;Обереги;да;1;20088;12254;1.447;8637;17740;29070;16860;9103;"Коллекционный образец метеорит Дронино №7"
9057404375;Природные материалы для творчества;да;1;24700;20007;1.426;20007;28530;35230;27110;8523;"Коллекционный образец метеорит Сихотэ-Алинь №1"
8978785664;Кольца;да;0;25500;21675;1.447;22950;31370;36900;29810;8420;"Кольцо из метеорита Muonionalucsta"
JW-NB-AGT-M-0086;Природные материалы для творчества;да;1;18600;11532;1.426;8370;16450;26530;15630;8080;"Коллекционный образец метеорит Дронино №1"
7777665443;Природные материалы для творчества;да;1;20890;18801;1.426;18801;26820;29790;25480;8019;"Коллекционный образец метеорит Дронино №4"
79358476457846;Обереги;да;1;20680;11374;1.447;8478;16460;29930;15640;7982;"Коллекционный образец метеорит Дронино 27,8 гр."
098876674;Природные материалы для творчества;да;1;24000;18720;1.426;18720;26700;34230;25370;7980;"Коллекционный метеорит Сихотэ-Алинь 24г"
