Артикул WB (nmid),Наименование,"Продано, шт","Выручка, руб","К выплате, руб","COGS, руб","Упаковка, руб","Прибыль за период, руб","ROI, %"
702062898,Мужской браслет из натуральных камней с метеоритом,24,106627,112154,31200,18600,62354,125
378649009,Подвеска из метеорита Муонионалуста,4,71472,66701,18800,3100,44801,205
387711805,Подвеска Сияние с метеоритом Муонионалуста,13,84892,84890,39000,10075,35815,73
676688948,Подвеска Непобедимое солнце с метеоритом,6,71182,66297,28200,4650,33447,102
434077004,"Подвеска ""Сердце"" двусторонняя",11,79209,73385,31900,8525,32960,82
446306396,Подвеска с метеоритом Муонионалуста и Молдавитом,5,65900,62621,35000,3875,23746,61
988801724,Бусина Дзи из метеорита Алетай,2,35054,31276,12000,1550,17726,131
604445060,"Коллекционная фигурка из метеорита Будда - 52,4 гр.",1,27691,27033,9000,775,17258,177
859585573,"Кулон из метеорита Алетай -45,7 гр.",1,30497,29127,11500,775,16852,137
861562848,Подвеска и метеоритом Серичо,3,30929,28011,10500,2325,15186,118
988261734,Кулон Дракон из метеорита Алетай,1,23131,21026,6500,775,13751,189
445409409,Кольцо из метеорита Muonionalucsta,2,30527,30496,15600,1550,13346,78
731562548,Подвеска из метеорита Муонионалуста,1,32119,29925,16500,775,12650,73
445391913,Коллекционный образец метеорит Сихотэ-Алинь,1,16195,14583,1860,775,11948,453
431548944,Коллекционные часы с метеоритом,1,23649,20161,7800,775,11586,135
1068082857,Браслет с ливийским стеклом и старой бусиной Дзи,1,16415,15859,3500,775,11584,271
528130767,Метеорит Сихотэ-Алинь №3,1,13226,15615,3400,775,11440,274
528126045,Коллекционный образец метеорит Сихотэ-Алинь №3,1,12469,15377,3200,775,11402,287
288063036,Шарм подвеска с Метеоритом,4,24008,22708,8800,3100,10808,91
434100575,Подвеска ДЗИ из метеорита,2,45441,40687,29000,1550,10137,33
988359699,Бусина Дзи из метеорита Алетай,1,19929,17341,6500,775,10066,138
678802293,Кулон Тибетский щит из метеорита Алетай,2,24532,20486,9000,1550,9936,94
542426312,Коллекционный образец метеорит Царев,1,13820,13356,2800,775,9781,274
327127352,Браслет Синергия с метеоритом Алетай,6,23701,22168,7800,4650,9718,78
563068048,"Метеорит Царев индивидуальный экземпляр - 53,3 гр.",1,15567,14001,3800,775,9426,206
756525446,"Подвеска ""Тайцзи Инь Ян"" с метеоритом Алетай",1,11684,13013,3400,775,8838,212
699377047,Тибетская бусина Дзи 20 глаз,1,17221,17488,8000,775,8714,99
691043622,Подвеска из метеорита Муонионалуста,1,27616,25970,16500,775,8695,50
516995980,Коллекционный образец метеорит Дронино,1,11022,11778,2900,775,8103,220
447795230,Метеорит Сихотэ-Алинь,1,10260,10984,2200,775,8009,269
303598439,"Браслет ""Вершитель реальности"" с метеоритом и лабрадоритом",3,20975,20006,10050,2325,7631,62
306818299,"Браслет ""Прометей"" лабрадорит с метеоритом Алетай",2,11543,12458,4600,1550,6308,103
699209236,Коллекционный образец метеорит campo del Cielo,1,8741,8447,1400,775,6272,288
