offer_id;категория;WB_final;ЯМ_тек;ЯМ_НОВ;discountBase;дельта;товар
2048713029541;Обереги;57760;38760;85370;112330;46610;"Метеорит - коллекционная фигурка 77,3 гр."
2049386057992;Обереги;52500;39750;77600;110850;37850;"Небесный тигр - кулон из метеорита Алетай - 51,2 гр."
2043465141060;Подвески бижутерные;52500;48000;76760;109650;28760;"Подвеска мелонг из метеорита Алетай"
2049427663021;Обереги;36504;27144;53960;69180;26816;"Коллекционная фигурка из каменного метеорита"
2048907621353;Обереги;44400;43800;65630;88680;21830;"Метеорит Дронино - образец 97,5 гр."
2049064836468;Обереги;37760;34220;55810;87210;21590;"Коллекционный экземпляр метеорит Царев 119 гр."
2048888778534;Обереги;34237;29078;50610;69320;21532;"Кулон-подвеска из метеорита Алетай"
2045909532700;Обереги;38000;38000;56170;59120;18170;"Коллекционный образец метеорит Сихотэ-Алинь №5"
2048907296230;Обереги;31600;29200;46710;59120;17510;"Метеорит Дронино - коллекционный образец 62,1 гр."
2049459905182;Подвески бижутерные;25650;20000;37510;65790;17510;"Крест с метеоритом"
2049405532066;Обереги;30954;29078;45760;69320;16682;"Подвеска из метеорита Алетай"
2048917560857;Обереги;32850;32400;48560;66510;16160;"Кулон-артефакт из метеорита Алетай"
2049066534157;Обереги;30789;31349;45510;82740;14161;"Метеорит Сихотэ-Алинь - 31,1 гр. индивидуал"
2049065140052;Обереги;31185;32319;46100;83810;13781;"Сихотэ-Алинь метеорит - 31,5 гр."
2048696232464;Обереги;19224;16020;28420;39470;12400;"Метеорит Царев - 29,3 гр."
2049064876730;Обереги;19430;16698;28720;44880;12022;"Метеорит Царев - образец 33 гр."
2049387876936;Обереги;24954;25344;36890;57630;11546;"Метеорит Сихотэ-Алинь - 55,7 гр."
2041385829402;Природные материалы для творчества;52650;55250;66550;82160;11300;"Коллекционный образец метеорит Кампо Дель Сьело"
2049064959464;Обереги;17664;15180;26110;40800;10930;"Царев метеорит - 30 гр."
2045909391406;Обереги;21016;21016;31070;43750;10054;"Коллекционный образец метеорит Сихотэ-Алинь №4"
2049052297363;Обереги;12864;9045;19020;29710;9975;"Каменный метеорит Царев - 21,9 гр."
2042050714764;Подвески бижутерные;22050;22785;32240;35820;9455;"Подвеска Меркаба с метеоритом Муонионалуста"
2041456329848;Природные материалы для творчества;53940;59000;68190;73320;9190;"Осколок железного метеорита Сихоте-Алинь"
2044461619959;Природные материалы для творчества;15840;11220;20030;27810;8810;"Коллекционный метеорит Сихотэ-Алинь 12г"
2047669355278;Подвески бижутерные;19360;20460;28310;32170;7850;"Кулон Тибетский щит из метеорита Алетай"
2048927684536;Обереги;16259;16488;24040;33850;7552;"Коллекционный образец, метеорит Кампо Дель Сьело 22,3 гр."
2046702672310;Браслеты;13200;11550;18910;23630;7360;"Браслет Сердце Будды с метеоритом Алетай"
2044891056751;Природные материалы для творчества;14630;11495;18500;26420;7005;"Коллекционный образец метеорит Campo del Cielo №2"
2047909797196;Браслеты;14235;13650;20390;27930;6740;"Мужской браслет из натуральных камней с метеоритом Алетай"
2047648665916;Кольца;21675;22950;29480;34680;6530;"Кольцо из метеорита Muonionalucsta"
2047648678350;Кольца;21675;22950;29480;34680;6530;"Кольцо из метеорита Muonionalucsta"
2045888021431;Природные материалы для творчества;24570;24570;31060;39820;6490;"Метеорит Сихотэ-Алинь №2"
2048908221040;Обереги;14848;15544;21950;34290;6406;"Метеорит Кампо дель Сьело - обрезец 23,2 гр."
2049053142112;Обереги;8260;5880;12210;20700;6330;"Царев метеорит каменный -14,8 гр."
2043413991419;Природные материалы для творчества;23310;23310;29470;32740;6160;"Коллекционный образец метеорит Дронино №2"
2045714273881;Природные материалы для творчества;22770;22770;28790;31980;6020;"Коллекционный образец метеорит Дронино №5"
2048926885408;Обереги;8896;7228;13150;20550;5922;"Метеорит Campo Del Cielo, образец 13,4 гр."
2046267500288;Природные материалы для творчества;30690;33000;38800;41720;5800;"Метеорит Дронино 60,2 гр."
2043736090998;Природные материалы для творчества;20720;20720;26200;32740;5480;"Сихотэ-Алинь - коллекционный образец"
2048926789140;Обереги;15040;16920;22230;34740;5310;"Метеорит Кампо Дель Сьело, образец 23 гр."
2044504231506;Природные материалы для творчества;20007;20007;25290;31230;5283;"Коллекционный образец метеорит Сихотэ-Алинь №1"
2048907777005;Обереги;16740;19710;24750;39910;5040;"Метеорит Кампо Дель Сьело, образец - 27,1 гр."
2045713660026;Природные материалы для творчества;18801;18801;23770;26410;4969;"Коллекционный образец метеорит Дронино №4"
2044462241173;Природные материалы для творчества;18720;18720;23670;30340;4950;"Коллекционный метеорит Сихотэ-Алинь 24г"
2049066254079;Обереги;15723;19566;23240;51650;3674;"Сихотэ-Алинь метеорит, образец 19,4 гр."
2043603985655;Подвески бижутерные;9200;10000;13460;14620;3460;"Подвеска Сияние с метеоритом Муонионалуста"
2042353656495;Браслеты;8400;8800;12030;14320;3230;"Браслет ""Прометей"" лабрадорит с метеоритом Алетай"
2048926572377;Обереги;13630;16920;20150;34740;3230;"Метеорит Кампо Дель Сьело, образец 23,2 гр."
2048749709370;Природные материалы для творчества;13398;14007;16940;25660;2933;"Коллекционный фрагмент метеорит Сихотэ-Алинь"
2048696319950;Обереги;7920;8800;11710;13010;2910;"Метеорит Царев, каменный метеорит 9,7 гр."
2042037693792;Браслеты;8600;9500;12320;14320;2820;"Браслет ""Звездный маг"" с метеоритом Алетай и бусиной Дзи"
2042770600712;Браслеты;5670;6160;8120;10030;1960;"Браслет Синергия с метеоритом Алетай"
2050763339860;Обереги;27505;38960;40660;42350;1700;"Бусина Дзи из метеорита Алетай"
2047852179018;Браслеты;5694;6500;8160;11170;1660;"Мужской браслет из натуральных камней с метеоритом"
2052024009161;Обереги;27500;39170;40650;;1480;"Кулон из метеорита Алетай Пияо - магнит изобилия"
2049426649002;Подвески бижутерные;5005;6110;7320;9510;1210;"Подвеска из метеорита Campo Del Cielo 6,4 гр."
2043296349116;Природные материалы для творчества;11532;14580;14580;23520;0;"Коллекционный образец метеорит Дронино №1"
2044230961111;Браслеты;9900;14180;14180;15760;0;"Браслет из натуральный камней с метеоритом"
2047648657843;Кольца;21675;29480;29480;34680;0;"Кольцо из метеорита Muonionalucsta"
2047668668362;Подвески бижутерные;22500;32900;32900;;0;"Кулон из метеорита Алетай"
2047852183152;Браслеты;5694;8160;8160;11170;0;"Мужской браслет из натуральных камней с метеоритом"
2051358508104;Обереги;6312;9330;9330;11810;0;"Метеорит Сихотэ-Алинь 4,7 гр."
2051358618025;Обереги;5883;8700;8700;11760;0;"Метеорит Сихотэ-Алинь 5,3 гр."
2051358739317;Обереги;5558;8220;8220;12640;0;"Метеорит Сихотэ-Алинь 5,7 гр."
2052025128915;Обереги;23000;34000;34000;;0;"Метеорит Царев индивидуальный экземпляр 18 гр."
2050943700145;Обереги;4340;6790;6420;9170;-370;"Кампо Дель Сьело метеорит - коллекционный образец 7,3 гр."
2051345237857;Обереги;23850;36040;35260;39170;-780;"Браслет с каменным метеоритом NWA"
2051508626795;Обереги;27538;41540;40710;41540;-830;"Амулет с бусиной Дзи из ливийского стекла"
2048696682726;Подвески бижутерные;5890;9500;8620;13890;-880;"Метеорит Campo del Cielo, 9,1 гр."
2050945148358;Обереги;12000;18690;17740;23650;-950;"Подвеска-амулет из индошинита"
2050761441312;Обереги;37054;55900;54770;56460;-1130;"Кулон Дракон из метеорита Алетай"
2051343913708;Обереги;23584;36450;34860;39620;-1590;"Мужской браслет с каменным метеоритом"
2051342634895;Обереги;20584;32260;30430;36660;-1830;"Браслет с Индошинитом"
2050761847909;Обереги;23594;36810;34880;48440;-1930;"Кулон Лик Будды из метеорита Алетай"
2050777145457;Обереги;15225;24580;22510;25870;-2070;"Кулон из Индошинита"
2050776784459;Обереги;22785;36220;33680;36220;-2540;"Бусина Дзи 9 глаз из метеорита Алетай"
2048696105690;Обереги;22592;36530;33400;52180;-3130;"Метеорит Царев"
2050767082878;Браслеты;22000;34660;31510;39380;-3150;"Браслет из Ливийского стекла высокого качества"
2050859936980;Обереги;11270;20230;16660;23800;-3570;"Кулон из Индошинита"
2050866743267;Обереги;29634;49110;43800;66370;-5310;"Кулон-амулет из метеорита Алетай"
2047094769664;Обереги;12254;23760;18120;29700;-5640;"Коллекционный образец метеорит Дронино №7"
2047094830647;Обереги;11374;22620;16820;30570;-5800;"Коллекционный образец метеорит Дронино 27,8 гр."
2050769384819;Обереги;52070;87290;76960;93860;-10330;"Пи Яо резная фигурка из ливийского стекла"
2050860410158;Природные материалы для творчества;62569;100310;79090;192900;-21220;"Метеорит Царев индивидуальный экземпляр 169 гр."
